policy_id,customer_age,property_value,premium_amount,property_location,construction_type,fire_alarm_installed,claim_amount,is_fraud
77,54,2920,52.11,Rural,Beton,Ya,0.0,0
78,53,730,12.39,Suburban,Beton,Ya,0.0,0
79,57,342,1.95,Urban,Kayu,Ya,0.0,0
80,48,927,14.29,Suburban,Beton,Ya,0.0,0
81,24,3659,32.57,Rural,Beton,Ya,1100.68,1
82,59,2243,12.12,Urban,Kayu,Ya,0.0,0
83,63,3601,36.92,Rural,Campuran,Ya,0.0,0
84,30,2937,27.38,Urban,Kayu,Ya,0.0,0
85,39,387,4.57,Suburban,Beton,Ya,0.0,0
86,48,565,10.15,Urban,Campuran,Tidak,0.0,0
87,50,267,1.48,Rural,Campuran,Ya,0.0,0
88,25,4163,50.62,Suburban,Campuran,Tidak,0.0,0
89,67,2783,36.41,Urban,Beton,Ya,0.0,0
90,52,1309,12.9,Rural,Beton,Ya,0.0,0
91,45,3677,42.04,Urban,Beton,Ya,0.0,0
92,70,4246,27.85,Rural,Beton,Tidak,0.0,0
93,21,1859,21.98,Urban,Beton,Tidak,0.0,0
94,53,3530,36.83,Suburban,Kayu,Tidak,0.0,0
95,55,4221,25.57,Rural,Kayu,Ya,3702.96,1
96,74,766,6.48,Suburban,Campuran,Tidak,0.0,0
97,38,2317,32.41,Rural,Kayu,Tidak,0.0,0
98,54,2550,44.87,Rural,Kayu,Ya,0.0,0
99,36,1953,32.18,Rural,Campuran,Ya,1303.82,0
100,50,2138,12.04,Rural,Beton,Ya,0.0,0
101,50,1079,17.58,Suburban,Kayu,Tidak,0.0,0
102,42,1219,15.12,Urban,Beton,Ya,0.0,0
103,41,1570,25.19,Suburban,Kayu,Ya,0.0,0
104,56,224,1.2,Suburban,Beton,Ya,0.0,0
105,19,355,2.66,Rural,Kayu,Tidak,0.0,0
106,66,4139,43.32,Suburban,Beton,Ya,3170.11,0
107,22,4739,43.63,Suburban,Campuran,Ya,0.0,0
108,27,3112,40.12,Suburban,Beton,Ya,0.0,0
109,32,1568,23.74,Suburban,Campuran,Tidak,0.0,0
110,73,2859,32.22,Suburban,Kayu,Tidak,0.0,0
111,39,3522,45.13,Suburban,Campuran,Tidak,0.0,0
112,18,2350,26.32,Rural,Campuran,Tidak,0.0,0
113,68,1976,17.72,Rural,Beton,Ya,0.0,0
114,62,3706,62.33,Rural,Beton,Ya,0.0,0
115,23,1248,15.45,Rural,Beton,Ya,0.0,0
116,53,992,19.77,Rural,Kayu,Tidak,0.0,0
117,63,594,10.82,Suburban,Beton,Ya,0.0,0
118,19,2126,25.78,Rural,Kayu,Ya,0.0,0
119,27,1861,19.62,Rural,Beton,Tidak,0.0,0
120,56,2756,37.09,Rural,Kayu,Ya,0.0,0
121,54,851,13.5,Urban,Beton,Ya,0.0,0
122,61,1189,19.64,Rural,Campuran,Tidak,0.0,0
123,60,1189,8.42,Rural,Beton,Ya,0.0,0
124,21,241,3.07,Rural,Kayu,Ya,0.0,0
125,52,4649,41.67,Rural,Kayu,Ya,0.0,0
126,27,1573,9.24,Rural,Campuran,Ya,823.3,1
127,20,2358,17.0,Rural,Kayu,Ya,0.0,0
128,64,3467,28.37,Suburban,Beton,Tidak,0.0,0
129,19,3594,27.84,Suburban,Kayu,Tidak,0.0,0
130,48,3710,45.91,Urban,Beton,Ya,0.0,0
131,23,4621,27.52,Urban,Beton,Tidak,0.0,0
132,46,4618,89.65,Rural,Beton,Ya,0.0,0
133,27,622,9.11,Suburban,Campuran,Ya,0.0,0
134,57,3529,24.75,Suburban,Beton,Ya,0.0,0
135,34,1083,6.74,Rural,Kayu,Tidak,0.0,0
136,22,2803,47.44,Rural,Beton,Ya,0.0,0
137,45,1053,11.13,Suburban,Kayu,Ya,0.0,0
138,30,3303,45.69,Urban,Kayu,Tidak,0.0,0
139,34,1479,13.45,Urban,Beton,Ya,0.0,0
140,51,2270,42.21,Rural,Beton,Ya,1441.18,0
141,68,1633,22.31,Urban,Beton,Ya,0.0,0
142,62,3418,27.72,Urban,Beton,Ya,0.0,0
143,33,1900,18.76,Suburban,Beton,Tidak,0.0,0
144,54,849,14.05,Suburban,Beton,Ya,0.0,0
145,46,910,10.59,Rural,Beton,Ya,320.67,0
146,50,3669,39.19,Suburban,Kayu,Ya,0.0,0
147,60,3427,23.16,Suburban,Kayu,Ya,0.0,0
148,18,1371,18.85,Rural,Kayu,Ya,0.0,0
149,40,2490,31.86,Urban,Beton,Tidak,0.0,0
150,75,4993,73.27,Rural,Beton,Ya,4763.0,0
151,42,3077,35.27,Urban,Kayu,Ya,0.0,0
152,32,1769,33.65,Rural,Kayu,Tidak,0.0,0
153,56,1942,31.9,Suburban,Kayu,Ya,0.0,0
154,23,488,7.8,Rural,Kayu,Tidak,0.0,0
155,21,4483,71.66,Urban,Kayu,Tidak,0.0,0
156,66,4100,78.89,Suburban,Beton,Ya,0.0,0
157,66,3646,18.89,Rural,Campuran,Tidak,0.0,0
158,60,3485,18.1,Urban,Beton,Ya,0.0,0
159,48,2972,54.54,Rural,Beton,Ya,0.0,0
160,20,4604,27.81,Urban,Beton,Tidak,0.0,0
161,31,4469,26.5,Rural,Campuran,Tidak,0.0,0
162,21,2207,26.37,Suburban,Beton,Tidak,0.0,0
163,35,3488,46.24,Rural,Beton,Ya,0.0,0
164,56,646,5.06,Suburban,Beton,Ya,325.1,1
165,75,2389,38.15,Rural,Beton,Ya,0.0,0
166,21,2358,27.49,Rural,Campuran,Ya,0.0,0
167,73,2202,42.0,Rural,Campuran,Ya,0.0,0
168,69,4504,77.54,Suburban,Kayu,Ya,0.0,0
169,66,3974,40.75,Suburban,Beton,Ya,0.0,0
170,34,4670,90.99,Urban,Campuran,Ya,0.0,0
171,32,4569,37.61,Rural,Beton,Ya,0.0,0
172,29,4602,56.77,Urban,Campuran,Ya,0.0,0
173,60,1820,20.8,Urban,Beton,Ya,0.0,0
174,49,1650,10.63,Rural,Kayu,Ya,0.0,0
175,44,4953,50.79,Urban,Kayu,Tidak,3029.59,1
176,53,3083,27.18,Urban,Beton,Ya,0.0,0
177,28,4126,73.75,Suburban,Campuran,Ya,0.0,0
178,30,3487,67.3,Urban,Beton,Tidak,0.0,0
179,63,2703,19.68,Rural,Kayu,Ya,1537.13,0
180,74,4451,44.79,Rural,Beton,Ya,0.0,0
181,19,3220,33.78,Urban,Beton,Ya,0.0,0
182,35,2005,11.56,Suburban,Kayu,Tidak,0.0,0
183,27,626,8.01,Suburban,Kayu,Ya,0.0,0
184,51,607,8.09,Suburban,Kayu,Ya,0.0,0
185,18,975,19.35,Rural,Kayu,Ya,0.0,0
186,20,4586,86.82,Suburban,Beton,Ya,0.0,0
187,74,191,3.22,Rural,Beton,Ya,0.0,0
188,50,2983,29.53,Urban,Campuran,Tidak,0.0,0
189,61,3075,57.72,Rural,Campuran,Ya,0.0,0
190,64,4166,43.26,Rural,Beton,Ya,0.0,0
191,23,4970,89.47,Suburban,Beton,Ya,0.0,0
192,44,1404,12.36,Suburban,Kayu,Tidak,1167.91,1
193,18,193,1.43,Rural,Campuran,Ya,0.0,0
194,57,2764,19.08,Urban,Campuran,Ya,0.0,0
195,34,500,9.49,Rural,Kayu,Ya,319.39,1
196,53,4259,69.15,Suburban,Kayu,Ya,0.0,0
197,39,496,3.04,Urban,Beton,Ya,0.0,0
198,30,3625,49.13,Urban,Beton,Ya,0.0,0
199,59,1337,19.04,Rural,Kayu,Ya,0.0,0
200,22,1800,14.8,Suburban,Beton,Ya,0.0,0
201,71,302,2.64,Rural,Kayu,Ya,0.0,0
202,70,1456,22.33,Urban,Beton,Tidak,0.0,0
203,28,2856,21.14,Suburban,Kayu,Tidak,0.0,0
204,74,3825,31.88,Suburban,Beton,Ya,0.0,0
205,38,4184,53.46,Suburban,Beton,Ya,0.0,0
206,68,776,4.63,Suburban,Beton,Ya,633.6,1
207,65,452,5.67,Suburban,Beton,Ya,361.45,1
208,40,3421,41.99,Urban,Beton,Tidak,0.0,0
209,51,3836,34.53,Urban,Kayu,Tidak,3115.94,1
210,74,1163,7.62,Rural,Beton,Ya,0.0,0
211,23,579,11.21,Rural,Kayu,Ya,0.0,0
212,47,4048,36.46,Urban,Beton,Ya,0.0,0
213,53,881,12.72,Suburban,Kayu,Ya,675.01,1
214,55,2904,31.66,Suburban,Kayu,Ya,0.0,0
215,47,347,5.94,Rural,Beton,Tidak,0.0,0
216,73,4458,24.81,Suburban,Beton,Ya,0.0,0
217,26,939,7.5,Rural,Kayu,Tidak,0.0,0
218,48,4558,24.14,Urban,Beton,Tidak,0.0,0
219,38,858,12.37,Urban,Kayu,Ya,0.0,0
220,68,1423,9.66,Suburban,Kayu,Tidak,0.0,0
221,41,1701,29.14,Rural,Kayu,Tidak,0.0,0
222,31,4971,87.19,Rural,Kayu,Ya,0.0,0
223,59,341,2.95,Suburban,Campuran,Ya,171.46,1
224,52,1114,21.47,Suburban,Beton,Ya,0.0,0
225,63,2394,24.69,Urban,Beton,Ya,0.0,0
226,56,371,5.24,Rural,Beton,Tidak,0.0,0
227,52,4141,39.0,Rural,Beton,Tidak,0.0,0
228,67,712,7.98,Urban,Beton,Ya,0.0,0
229,36,3030,27.27,Rural,Kayu,Ya,0.0,0
230,52,637,7.34,Rural,Beton,Ya,403.41,1
231,54,2242,26.85,Urban,Kayu,Tidak,0.0,0
232,39,274,4.45,Urban,Beton,Ya,0.0,0
233,67,1629,27.38,Urban,Beton,Ya,0.0,0
234,55,1376,23.8,Rural,Campuran,Ya,0.0,0
235,42,1799,30.62,Rural,Kayu,Tidak,0.0,0
236,27,2418,18.2,Urban,Beton,Ya,0.0,0
237,42,4612,82.8,Suburban,Kayu,Ya,0.0,0
238,70,3741,47.74,Urban,Campuran,Ya,0.0,0
239,25,4550,47.43,Suburban,Kayu,Ya,0.0,0
240,71,4976,77.87,Suburban,Campuran,Ya,0.0,0
241,67,4037,74.5,Rural,Kayu,Ya,0.0,0
242,48,2126,32.95,Urban,Beton,Tidak,1808.6,0
243,58,588,4.34,Rural,Campuran,Ya,0.0,0
244,58,4533,32.86,Suburban,Beton,Ya,0.0,0
245,41,1793,30.86,Suburban,Beton,Ya,0.0,0
246,32,1759,25.86,Urban,Kayu,Tidak,0.0,0
247,32,3633,31.13,Suburban,Beton,Tidak,1208.0,1
248,55,368,1.88,Suburban,Kayu,Ya,0.0,0
249,38,4499,84.07,Suburban,Campuran,Ya,0.0,0
250,57,3027,28.34,Suburban,Beton,Tidak,0.0,0
251,65,1894,17.69,Rural,Beton,Tidak,0.0,0
252,27,3764,30.73,Rural,Campuran,Ya,1272.01,1
253,52,948,7.67,Suburban,Kayu,Ya,0.0,0
254,35,2140,33.17,Suburban,Campuran,Tidak,0.0,0
255,70,2460,18.65,Urban,Kayu,Tidak,1405.58,1
256,34,2349,45.81,Suburban,Beton,Ya,0.0,0
257,69,320,6.04,Suburban,Kayu,Tidak,0.0,0
258,34,2481,19.21,Urban,Campuran,Ya,0.0,0
259,69,509,8.18,Suburban,Kayu,Tidak,0.0,0
260,74,2516,20.34,Urban,Beton,Ya,0.0,0
261,25,1363,26.0,Suburban,Beton,Ya,0.0,0
262,68,181,1.0,Suburban,Campuran,Ya,0.0,0
263,50,624,11.25,Suburban,Beton,Ya,0.0,0
264,44,3357,23.74,Urban,Beton,Ya,0.0,0
265,43,4262,35.86,Suburban,Kayu,Tidak,0.0,0
266,55,4137,23.11,Rural,Kayu,Ya,0.0,0
267,22,4410,74.48,Urban,Kayu,Ya,0.0,0
268,41,3988,23.3,Suburban,Beton,Tidak,3432.38,1
269,43,3187,59.73,Suburban,Campuran,Tidak,0.0,0
270,65,2965,32.61,Suburban,Beton,Ya,0.0,0
271,70,1206,14.49,Urban,Beton,Tidak,0.0,0
272,63,3502,32.51,Rural,Beton,Ya,2693.7,1
273,43,4049,31.39,Suburban,Beton,Ya,1816.3,0
274,69,2582,37.73,Rural,Campuran,Ya,0.0,0
275,61,2461,22.38,Urban,Beton,Ya,0.0,0
276,20,4109,64.9,Urban,Beton,Ya,0.0,0
277,23,3403,41.58,Rural,Kayu,Ya,0.0,0
278,41,1822,28.66,Rural,Campuran,Ya,0.0,0
279,34,4506,65.61,Urban,Beton,Tidak,0.0,0
280,47,4883,25.82,Urban,Kayu,Ya,0.0,0
281,61,510,10.14,Urban,Kayu,Ya,0.0,0
282,60,912,11.57,Suburban,Kayu,Ya,0.0,0
283,64,1589,30.26,Urban,Kayu,Ya,0.0,0
284,33,4650,55.27,Suburban,Beton,Ya,0.0,0
285,54,1282,8.17,Urban,Campuran,Ya,0.0,0
286,27,114,2.06,Urban,Kayu,Ya,0.0,0
287,71,2950,56.75,Suburban,Kayu,Ya,0.0,0
288,25,3339,45.46,Rural,Beton,Ya,0.0,0
289,23,1567,26.09,Suburban,Beton,Tidak,0.0,0
290,35,2856,44.95,Urban,Beton,Ya,0.0,0
291,34,3906,47.97,Urban,Campuran,Tidak,0.0,0
292,65,1344,8.79,Rural,Beton,Tidak,493.93,1
293,62,1698,13.66,Urban,Beton,Ya,563.02,1
294,28,1888,22.11,Rural,Campuran,Ya,0.0,0
295,29,709,12.27,Rural,Campuran,Tidak,0.0,0
296,54,4402,61.25,Rural,Beton,Ya,0.0,0
297,57,1128,21.21,Urban,Beton,Ya,0.0,0
298,62,1124,6.15,Suburban,Beton,Tidak,0.0,0
299,59,2288,44.71,Suburban,Kayu,Tidak,0.0,0
300,40,642,6.54,Urban,Beton,Tidak,0.0,0
301,64,1471,13.45,Urban,Beton,Tidak,0.0,0
302,28,2250,25.27,Urban,Campuran,Ya,0.0,0
303,42,3158,47.87,Suburban,Campuran,Ya,0.0,0
304,53,555,5.85,Suburban,Beton,Ya,0.0,0
305,70,534,8.36,Urban,Beton,Tidak,0.0,0
306,48,4212,29.06,Urban,Beton,Tidak,0.0,0
307,22,2280,42.81,Suburban,Kayu,Ya,0.0,0
308,73,2973,22.07,Urban,Beton,Ya,0.0,0
309,56,4374,67.82,Rural,Beton,Ya,0.0,0
310,25,1914,31.34,Rural,Kayu,Tidak,0.0,0
311,43,1954,11.6,Urban,Kayu,Ya,0.0,0
312,36,1832,34.25,Rural,Campuran,Ya,0.0,0
313,47,565,6.28,Urban,Beton,Ya,0.0,0
314,51,210,2.63,Suburban,Campuran,Tidak,0.0,0
315,75,3343,23.85,Urban,Beton,Ya,0.0,0
316,35,3033,39.94,Suburban,Beton,Ya,0.0,0
317,22,3867,45.56,Urban,Campuran,Ya,0.0,0
318,21,824,14.42,Urban,Campuran,Ya,0.0,0
319,36,292,5.79,Rural,Beton,Ya,0.0,0
320,56,2272,13.92,Suburban,Beton,Ya,0.0,0
321,62,1786,11.59,Suburban,Kayu,Ya,0.0,0
322,75,412,7.18,Rural,Beton,Tidak,0.0,0
323,54,1933,38.23,Urban,Beton,Ya,0.0,0
324,37,3915,51.11,Urban,Kayu,Ya,0.0,0
325,55,2608,33.17,Suburban,Kayu,Ya,0.0,0
326,75,4021,70.05,Suburban,Kayu,Tidak,2717.37,1
327,65,1313,16.08,Suburban,Beton,Tidak,0.0,0
328,43,1006,18.88,Suburban,Kayu,Ya,0.0,0
329,60,2670,47.7,Rural,Campuran,Ya,0.0,0
330,67,2404,36.19,Suburban,Beton,Tidak,0.0,0
331,56,2944,36.85,Suburban,Kayu,Tidak,0.0,0
332,58,943,10.24,Suburban,Kayu,Tidak,0.0,0
333,33,1285,11.16,Rural,Beton,Ya,0.0,0
334,30,1123,17.31,Suburban,Kayu,Ya,0.0,0
335,56,4439,64.32,Urban,Campuran,Tidak,0.0,0
336,23,1377,26.48,Suburban,Kayu,Tidak,0.0,0
337,34,1219,23.29,Rural,Beton,Tidak,0.0,0
338,58,4780,87.04,Urban,Beton,Ya,0.0,0
339,42,4587,48.73,Rural,Kayu,Ya,0.0,0
340,51,1237,7.03,Suburban,Kayu,Ya,0.0,0
341,71,4697,41.7,Urban,Kayu,Ya,0.0,0
342,58,4551,31.36,Rural,Kayu,Ya,0.0,0
343,53,4497,75.91,Urban,Beton,Ya,0.0,0
344,64,1981,37.78,Rural,Beton,Tidak,1034.78,1
345,19,440,6.45,Rural,Kayu,Ya,0.0,0
346,28,2988,21.79,Urban,Beton,Tidak,0.0,0
347,24,2665,49.71,Suburban,Kayu,Ya,0.0,0
348,32,1476,21.31,Urban,Beton,Ya,0.0,0
349,62,340,4.12,Suburban,Kayu,Tidak,0.0,0
350,61,3176,40.49,Urban,Kayu,Ya,0.0,0
351,69,3983,35.67,Suburban,Beton,Ya,0.0,0
352,30,641,5.49,Urban,Beton,Ya,221.83,1
353,30,2880,32.3,Urban,Kayu,Ya,0.0,0
354,59,3898,58.97,Urban,Beton,Ya,0.0,0
355,19,1673,27.37,Rural,Campuran,Ya,1284.42,1
356,55,1179,8.61,Suburban,Beton,Ya,0.0,0
357,38,2413,32.62,Suburban,Kayu,Ya,0.0,0
358,19,4951,41.9,Rural,Beton,Ya,0.0,0
359,21,4900,86.04,Urban,Kayu,Tidak,1555.28,1
360,53,364,4.71,Suburban,Beton,Ya,0.0,0
361,25,390,6.32,Rural,Beton,Ya,0.0,0
362,36,1781,27.68,Suburban,Campuran,Tidak,0.0,0
363,65,4540,56.53,Rural,Kayu,Ya,0.0,0
364,40,2734,20.4,Suburban,Kayu,Ya,0.0,0
365,36,4290,46.78,Urban,Kayu,Tidak,0.0,0
366,51,623,5.23,Rural,Campuran,Ya,0.0,0
367,74,694,10.21,Suburban,Beton,Ya,0.0,0
368,26,4145,22.01,Rural,Beton,Tidak,0.0,0
369,73,4657,57.38,Rural,Beton,Ya,0.0,0
370,50,2263,32.19,Urban,Campuran,Tidak,0.0,0
371,58,3555,46.28,Urban,Beton,Tidak,0.0,0
372,53,1002,7.32,Urban,Beton,Ya,0.0,0
373,62,3429,54.15,Urban,Beton,Tidak,0.0,0
374,58,3524,28.46,Rural,Campuran,Ya,0.0,0
375,21,4162,74.03,Suburban,Beton,Ya,0.0,0
376,70,2503,47.09,Rural,Kayu,Ya,0.0,0
377,71,593,10.75,Suburban,Beton,Ya,0.0,0
378,23,2725,45.34,Suburban,Beton,Ya,0.0,0
379,69,2740,27.88,Rural,Kayu,Ya,2736.79,1
380,35,4741,93.01,Suburban,Kayu,Tidak,0.0,0
381,56,1253,9.18,Rural,Campuran,Ya,1178.16,0
382,70,1010,10.39,Rural,Campuran,Ya,0.0,0
383,70,2042,21.02,Rural,Beton,Ya,0.0,0
384,63,2527,41.22,Rural,Beton,Ya,0.0,0
385,32,1568,8.18,Rural,Kayu,Ya,0.0,0
386,65,3182,31.99,Rural,Kayu,Ya,0.0,0
387,30,3090,52.25,Rural,Beton,Ya,0.0,0
388,41,645,6.91,Suburban,Kayu,Tidak,0.0,0
389,40,4257,72.13,Suburban,Beton,Ya,0.0,0
390,45,3464,69.17,Rural,Campuran,Tidak,0.0,0
391,49,437,4.36,Suburban,Kayu,Ya,0.0,0
392,33,4453,52.88,Urban,Campuran,Ya,0.0,0
393,71,3562,22.47,Suburban,Beton,Tidak,0.0,0
394,53,1121,12.41,Urban,Beton,Ya,0.0,0
395,27,4862,68.89,Rural,Beton,Tidak,0.0,0
396,72,3448,32.65,Urban,Beton,Tidak,0.0,0
397,24,1360,26.2,Urban,Kayu,Tidak,0.0,0
398,55,3631,63.28,Suburban,Beton,Ya,3146.74,0
399,75,941,17.62,Suburban,Beton,Ya,0.0,0
400,55,2903,28.88,Urban,Kayu,Ya,0.0,0
401,58,1350,23.03,Suburban,Kayu,Ya,0.0,0
402,61,2520,36.41,Rural,Kayu,Tidak,0.0,0
403,41,317,2.72,Suburban,Kayu,Ya,0.0,0
404,70,345,2.18,Urban,Beton,Ya,0.0,0
405,39,616,8.09,Urban,Beton,Ya,0.0,0
406,37,3638,47.92,Rural,Beton,Ya,0.0,0
407,56,4984,54.9,Rural,Kayu,Ya,3872.53,1
408,50,2507,39.86,Rural,Campuran,Ya,0.0,0
409,51,2047,30.04,Suburban,Beton,Tidak,0.0,0
410,26,2947,33.64,Rural,Kayu,Tidak,0.0,0
411,55,912,5.33,Suburban,Campuran,Ya,0.0,0
412,50,3001,53.09,Rural,Beton,Ya,0.0,0
413,65,386,7.2,Rural,Kayu,Tidak,359.0,1
414,63,495,5.66,Urban,Beton,Ya,0.0,0
415,50,2673,14.72,Suburban,Beton,Ya,0.0,0
416,64,1428,15.67,Suburban,Kayu,Ya,0.0,0
417,69,3125,21.81,Urban,Beton,Tidak,2526.66,1
418,67,2021,18.48,Urban,Beton,Tidak,0.0,0
419,30,1346,15.99,Rural,Beton,Tidak,0.0,0
420,58,2415,34.61,Urban,Kayu,Ya,0.0,0
421,25,3237,38.69,Suburban,Beton,Ya,2958.87,0
422,35,4450,29.48,Suburban,Kayu,Ya,0.0,0
423,61,4375,46.95,Rural,Kayu,Ya,0.0,0
424,38,1577,17.83,Rural,Campuran,Ya,0.0,0
425,59,4130,44.94,Suburban,Beton,Tidak,0.0,0
426,19,2707,46.57,Suburban,Campuran,Ya,0.0,0
427,35,1439,16.55,Urban,Campuran,Ya,0.0,0
428,56,4389,66.05,Suburban,Beton,Ya,0.0,0
429,66,2931,35.27,Urban,Kayu,Ya,0.0,0
430,71,734,10.24,Urban,Kayu,Ya,0.0,0
431,21,2476,21.58,Rural,Beton,Tidak,0.0,0
432,24,4124,82.21,Suburban,Kayu,Ya,0.0,0
433,44,2683,15.27,Suburban,Beton,Tidak,0.0,0
434,61,4910,48.35,Urban,Beton,Ya,2774.85,1
435,31,2875,32.16,Suburban,Kayu,Tidak,0.0,0
436,50,4766,49.32,Rural,Beton,Ya,0.0,0
437,59,2900,17.05,Urban,Beton,Ya,0.0,0
438,22,187,2.21,Rural,Beton,Ya,154.31,0
439,26,588,3.55,Urban,Beton,Ya,337.7,1
440,59,850,9.27,Rural,Beton,Tidak,551.62,1
441,66,1576,14.58,Suburban,Beton,Ya,0.0,0
442,54,783,7.7,Rural,Beton,Ya,0.0,0
443,64,4806,84.21,Rural,Beton,Ya,0.0,0
444,20,743,7.39,Rural,Campuran,Ya,742.29,0
445,34,3460,57.81,Urban,Kayu,Ya,0.0,0
446,35,537,4.79,Suburban,Kayu,Ya,0.0,0
447,61,2060,12.56,Urban,Beton,Ya,0.0,0
448,75,450,3.03,Rural,Campuran,Ya,284.07,0
449,30,3584,36.63,Rural,Kayu,Ya,0.0,0
450,20,202,2.56,Suburban,Beton,Ya,0.0,0
451,66,4795,59.5,Rural,Campuran,Ya,0.0,0
452,30,4514,36.35,Urban,Beton,Tidak,1884.12,1
453,55,1411,10.19,Urban,Campuran,Ya,0.0,0
454,68,4114,69.44,Rural,Campuran,Ya,0.0,0
455,31,362,5.38,Urban,Campuran,Ya,0.0,0
456,24,2423,44.12,Urban,Kayu,Tidak,0.0,0
457,37,928,5.01,Rural,Beton,Ya,0.0,0
458,22,3418,58.38,Suburban,Kayu,Ya,0.0,0
459,64,2984,18.9,Rural,Beton,Tidak,0.0,0
460,20,4951,40.93,Suburban,Beton,Ya,0.0,0
461,55,2154,14.53,Suburban,Beton,Ya,0.0,0
462,34,4589,77.39,Urban,Kayu,Ya,0.0,0
